file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251008_132621_result.json,yes,201,yes,207,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_132642_result.json,yes,229,yes,179,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_132653_result.json,yes,233,yes,179,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_132657_result.json,yes,58,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_132703_result.json,yes,126,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_132710_result.json,yes,121,yes,42,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134418_result.json,yes,207,yes,63,yes,con thinking,28,female,0,Philadelphia,,lower secondary,self-employed,woman,photography;hiking;reading novels;running;painting,divorced,native American,mechanic,low,19,low,1,low,28,high,100,moderate,33,PhD,lower secondary,depressed,Christianity,heterosexual,You spend roughly a few times weekly on social media
20251008_134430_result.json,yes,295,yes,131,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134443_result.json,yes,277,yes,145,yes,con thinking,52,female,2,New York,,lower secondary,employed full-time,woman,photography;volunteering;hiking;painting;knitting,divorced,native American,barista,moderate,59,low,29,high,76,low,25,moderate,53,bachelor's degree,upper secondary,curious,Buddhism,heterosexual,You spend a few times monthly on social media
20251008_134457_result.json,yes,296,yes,181,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134513_result.json,yes,31,yes,83,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134530_result.json,yes,84,yes,65,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134535_result.json,yes,50,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134545_result.json,yes,224,yes,118,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134554_result.json,yes,159,yes,114,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134656_result.json,yes,131,yes,53,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134747_result.json,yes,285,yes,46,yes,con thinking,68,female,4,Chicago,,primary school,self-employed,woman,cycling;photography;travel,in a relationship,native American,fitness trainer,low,6,low,28,low,14,low,22,low,7,PhD,lower secondary,depressed,Hinduism,heterosexual,You spend several hours daily on social media
20251008_134757_result.json,yes,230,yes,141,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134807_result.json,yes,213,yes,93,yes,con thinking,88,male,2,Philadelphia,,vocational diploma,employed full-time,non-binary,baking;videogames;volunteering;painting;classical music,divorced,native American,fitness trainer,moderate,48,moderate,50,low,24,moderate,45,high,70,bachelor's degree,bachelor's degree,creative,Atheist,bisexual,You spend roughly one hour daily on social media
20251008_134827_result.json,yes,293,yes,85,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134836_result.json,yes,154,yes,107,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134843_result.json,yes,167,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134848_result.json,yes,67,yes,60,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134855_result.json,yes,153,yes,50,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134912_result.json,yes,192,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134933_result.json,yes,145,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134944_result.json,yes,297,yes,105,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_134949_result.json,yes,80,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135004_result.json,yes,295,yes,180,yes,con thinking,38,male,3,Los Angeles,,vocational diploma,employed full-time,transgender,football (calcio);baking;gardening,divorced,native American,electrician,moderate,38,high,81,low,12,low,24,low,3,master's degree,PhD,creative,Islam,heterosexual,You spend several hours daily on social media
20251008_135015_result.json,yes,320,yes,47,yes,con thinking,63,male,4,Chicago,,master's degree,self-employed,agender,running;football (calcio);reading novels;photography,divorced,immigrant,data scientist,moderate,40,moderate,40,low,8,moderate,49,moderate,41,no formal education,primary school,normal,Judaism,heterosexual,You have no social media
20251008_135027_result.json,yes,304,yes,143,yes,con thinking,81,male,0,Kansas City,,master's degree,self-employed,non-binary,running;videogames,widowed,immigrant,electrician,moderate,33,high,69,moderate,51,low,1,low,20,no formal education,vocational diploma,normal,Hinduism,heterosexual,You spend several hours daily on social media
20251008_135036_result.json,yes,219,yes,76,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135048_result.json,yes,307,yes,111,yes,con thinking,74,male,4,Washington DC,,no formal education,employed full-time,man,photography;painting,married,native American,delivery driver,moderate,55,moderate,57,low,28,high,71,moderate,34,primary school,lower secondary,with good mental health,Islam,heterosexual,You spend a few times monthly on social media
20251008_135102_result.json,yes,338,yes,73,yes,con thinking,72,male,0,Kansas City,,no formal education,self-employed,man,board games;cinema;hiking;gardening,in a relationship,native American,plumber,high,96,low,29,moderate,44,high,69,high,82,vocational diploma,PhD,normal,Islam,bisexual,You spend several hours daily on social media
20251008_135127_result.json,yes,300,yes,198,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135139_result.json,yes,308,yes,89,yes,con thinking,41,male,0,New York,,primary school,employed part-time,man,classical music;cycling;cinema;board games,married,native American,delivery driver,low,1,high,76,low,18,high,81,low,19,master's degree,upper secondary,with good mental health,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20251008_135148_result.json,yes,176,yes,107,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135212_result.json,yes,186,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135224_result.json,yes,213,yes,168,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135232_result.json,yes,219,yes,43,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135241_result.json,yes,78,yes,201,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135253_result.json,yes,278,yes,115,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135310_result.json,yes,157,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135320_result.json,yes,154,yes,133,yes,con thinking,50,female,0,Kansas City,,PhD,employed part-time,non-binary,gardening;travel;football (calcio),in a relationship,native American,school teacher,low,29,high,90,moderate,33,low,12,moderate,48,PhD,lower secondary,curious,Atheist,heterosexual,You spend roughly one hour daily on social media
20251008_135329_result.json,yes,192,yes,98,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135358_result.json,yes,249,yes,101,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135408_result.json,yes,214,yes,78,yes,con thinking,33,male,0,Philadelphia,,upper secondary,self-employed,man,cycling;volunteering,in a relationship,native American,plumber,moderate,65,high,76,moderate,57,low,2,moderate,53,primary school,master's degree,curious,Islam,heterosexual,You spend roughly a few times weekly on social media
20251008_135416_result.json,yes,185,yes,99,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135426_result.json,yes,239,yes,80,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135434_result.json,yes,187,yes,66,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135451_result.json,yes,151,yes,93,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135513_result.json,yes,221,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135521_result.json,yes,205,yes,56,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135548_result.json,yes,256,yes,193,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135558_result.json,yes,208,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135619_result.json,yes,236,yes,168,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135629_result.json,yes,240,yes,129,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135707_result.json,yes,222,yes,69,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135719_result.json,yes,282,yes,57,yes,con thinking,36,female,5,Bari,,PhD,self-employed,transgender,hiking;rock climbing;classical music,in a relationship,native Italian,journalist,moderate,59,low,25,high,100,high,77,high,81,master's degree,no formal education,anxious,Buddhism,heterosexual,You spend roughly a few times weekly on social media
20251008_135729_result.json,yes,222,yes,90,yes,con thinking,79,male,1,Los Angeles,,bachelor's degree,employed full-time,genderqueer,videogames;travel,in a relationship,immigrant,hairdresser,low,8,moderate,65,low,19,moderate,38,low,28,no formal education,primary school,with good mental health,Christianity,bisexual,You have no social media
20251008_135738_result.json,yes,214,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135746_result.json,yes,194,yes,50,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135754_result.json,yes,173,yes,50,yes,con thinking,76,female,2,Milan,,no formal education,employed part-time,transgender,volunteering;birdwatching,in a relationship,native Italian,sales associate,high,90,high,86,low,10,high,68,low,9,PhD,bachelor's degree,with good mental health,Judaism,heterosexual,You spend several hours daily on social media
20251008_135805_result.json,yes,201,yes,138,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135824_result.json,yes,165,yes,80,yes,con thinking,84,female,3,Rome,,no formal education,employed full-time,woman,painting;cycling;baking;rock climbing,married,immigrant,barista,low,31,moderate,46,high,86,high,100,moderate,38,master's degree,upper secondary,normal,Atheist,heterosexual,You spend roughly a few times weekly on social media
20251008_135833_result.json,yes,221,yes,50,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135930_result.json,yes,190,yes,118,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135941_result.json,yes,194,yes,190,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_135950_result.json,yes,180,yes,141,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_140014_result.json,yes,125,yes,87,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_140023_result.json,yes,214,yes,79,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_140031_result.json,yes,165,yes,110,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_140041_result.json,yes,205,yes,108,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_140055_result.json,yes,283,yes,129,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
