file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251006_155244_result.json,yes,76,yes,55,yes,con thinking,68,male,4,New York,,vocational diploma,employed full-time,man,volunteering;running;photography;baking,widowed,native American,waiter/waitress,low,17,moderate,41,low,3,low,18,moderate,48,upper secondary,vocational diploma,normal,Hinduism,heterosexual,You spend a few times monthly on social media
20251006_155431_result.json,yes,105,yes,90,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_155451_result.json,yes,156,yes,38,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_155509_result.json,yes,82,yes,64,yes,con thinking,45,female,0,Philadelphia,,PhD,employed part-time,woman,yoga;volunteering;gardening;cycling;board games,widowed,native American,engineer,low,30,high,77,moderate,53,moderate,50,high,79,primary school,no formal education,anxious,Christianity,heterosexual,You spend roughly one hour daily on social media
20251006_155530_result.json,yes,113,yes,96,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_155643_result.json,yes,74,yes,133,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_155749_result.json,yes,161,yes,44,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_155955_result.json,yes,84,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_160016_result.json,yes,114,yes,65,yes,con thinking,45,male,0,Rome,,no formal education,self-employed,genderqueer,videogames;football (calcio);baking;birdwatching;hiking,in a relationship,native Italian,plumber,low,18,high,80,low,8,high,72,low,19,bachelor's degree,lower secondary,with good mental health,Islam,heterosexual,You spend roughly one hour daily on social media
20251006_160037_result.json,yes,110,yes,91,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_160102_result.json,yes,126,yes,123,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161446_result.json,yes,173,yes,80,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161506_result.json,yes,95,yes,78,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161523_result.json,yes,91,yes,22,yes,senza thinking,87,female,1,Philadelphia,,primary school,employed part-time,non-binary,photography;hiking;knitting;birdwatching;running,in a relationship,native American,waiter/waitress,moderate,45,moderate,49,moderate,52,moderate,56,high,84,bachelor's degree,no formal education,with good mental health,Atheist,heterosexual,You have no social media
20251006_161543_result.json,yes,117,yes,66,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161625_result.json,yes,143,yes,49,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161726_result.json,yes,54,yes,49,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161751_result.json,yes,62,yes,102,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161822_result.json,yes,69,yes,29,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_161918_result.json,yes,225,yes,114,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162001_result.json,yes,125,yes,76,yes,con thinking,77,female,0,Naples,,bachelor's degree,employed part-time,woman,volunteering;board games;photography;painting;hiking,divorced,native Italian,barista,high,69,low,26,low,19,moderate,33,low,13,PhD,PhD,normal,Islam,homosexual,You spend several hours daily on social media
20251006_162018_result.json,yes,82,yes,58,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162037_result.json,yes,120,yes,62,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162105_result.json,yes,199,yes,59,yes,con thinking,59,female,0,Bologna,,vocational diploma,employed full-time,genderqueer,cooking;running;rock climbing;board games,divorced,native Italian,hairdresser,high,95,high,85,low,13,moderate,35,moderate,42,vocational diploma,PhD,anxious,Atheist,bisexual,You have no social media
20251006_162124_result.json,yes,133,yes,37,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162144_result.json,yes,115,yes,57,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162206_result.json,yes,81,yes,85,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162357_result.json,yes,96,yes,65,yes,con thinking,61,male,1,Rome,,master's degree,employed part-time,man,board games;photography;classical music,in a relationship,native Italian,data scientist,high,91,moderate,37,high,68,low,3,moderate,59,bachelor's degree,upper secondary,creative,Buddhism,heterosexual,You spend roughly one hour daily on social media
20251006_162416_result.json,yes,101,yes,58,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162439_result.json,yes,156,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162848_result.json,yes,271,yes,63,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_162916_result.json,yes,1,yes,1,yes,senza thinking,48,male,4,Washington DC,,upper secondary,employed full-time,man,yoga;photography;gardening;classical music;volunteering,in a relationship,immigrant,mechanic,low,2,high,71,high,81,low,16,low,14,no formal education,bachelor's degree,anxious,Christianity,asexual,You spend a few times monthly on social media
20251006_162957_result.json,yes,68,yes,45,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163053_result.json,yes,177,yes,32,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163130_result.json,yes,211,yes,94,yes,con thinking,85,male,1,Naples,,vocational diploma,employed full-time,agender,painting;running;football (calcio);birdwatching,divorced,native Italian,cleaner,moderate,46,high,78,high,72,moderate,66,high,89,primary school,PhD,normal,Islam,heterosexual,You spend roughly one hour daily on social media
20251006_163218_result.json,yes,149,yes,50,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163239_result.json,yes,110,yes,99,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163255_result.json,yes,63,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163429_result.json,yes,98,yes,61,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163457_result.json,yes,128,yes,89,yes,con thinking,58,female,3,Lecce,,vocational diploma,employed part-time,woman,cooking;photography;gardening;cinema,married,immigrant,hairdresser,low,13,high,75,high,95,low,27,low,17,bachelor's degree,lower secondary,creative,Atheist,heterosexual,You have no social media
20251006_163529_result.json,yes,250,yes,90,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163556_result.json,yes,125,yes,85,yes,con thinking,41,male,1,Chicago,,vocational diploma,self-employed,transgender,rock climbing;cycling,in a relationship,immigrant,mechanic,moderate,57,low,29,low,7,high,84,high,87,PhD,master's degree,curious,Hinduism,heterosexual,You have no social media
20251006_163652_result.json,yes,197,yes,53,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163709_result.json,yes,48,yes,79,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163729_result.json,yes,89,yes,44,yes,con thinking,24,male,4,Bari,,no formal education,employed part-time,man,classical music;baking;rock climbing;board games,widowed,immigrant,delivery driver,low,17,moderate,63,high,67,low,4,high,68,no formal education,primary school,normal,Judaism,heterosexual,You spend roughly one hour daily on social media
20251006_163822_result.json,yes,256,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163843_result.json,yes,145,yes,39,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163905_result.json,yes,138,yes,64,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163925_result.json,yes,151,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_163949_result.json,yes,85,yes,103,yes,con thinking,63,male,0,Bari,,no formal education,self-employed,non-binary,hiking;cinema,married,immigrant,retail worker,high,77,low,17,low,0,high,82,high,92,upper secondary,bachelor's degree,anxious,Agnostic,heterosexual,You have no social media
20251006_164052_result.json,yes,225,yes,53,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164131_result.json,yes,161,yes,118,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164224_result.json,yes,107,yes,149,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164242_result.json,yes,116,yes,35,yes,con thinking,59,female,0,Bari,,lower secondary,self-employed,transgender,painting;knitting;yoga,widowed,native Italian,barista,moderate,54,low,11,moderate,51,high,73,low,7,lower secondary,upper secondary,normal,Buddhism,heterosexual,You spend several hours daily on social media
20251006_164301_result.json,yes,58,yes,52,yes,con thinking,48,female,0,Rome,,primary school,employed part-time,non-binary,reading novels;cinema;baking;photography,divorced,native Italian,cleaner,low,26,high,77,high,84,high,83,moderate,46,master's degree,bachelor's degree,normal,Buddhism,homosexual,You have no social media
20251006_164317_result.json,yes,83,yes,47,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164339_result.json,yes,116,yes,112,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164428_result.json,yes,238,yes,96,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164443_result.json,yes,53,yes,55,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164557_result.json,yes,170,yes,96,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164617_result.json,yes,109,yes,71,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_164847_result.json,yes,138,yes,64,yes,con thinking,80,male,0,Los Angeles,,vocational diploma,self-employed,man,travel;reading novels,married,native American,plumber,low,30,high,90,moderate,62,moderate,54,low,3,upper secondary,lower secondary,normal,Islam,heterosexual,You spend several hours daily on social media
