file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20260220_183915_2403fba5ce_result.json,yes,226,yes,105,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_183928_a3720b7a10_result.json,yes,310,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_183939_dc3950969a_result.json,yes,270,yes,91,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_183949_f45414591f_result.json,yes,255,yes,107,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184002_95b917ee27_result.json,yes,314,yes,79,yes,con thinking,21,female,0,Washington DC,,master's degree,employed part-time,man,photography;painting;birdwatching,single,native American,retail worker,high,93,moderate,56,high,67,low,8,low,9,vocational diploma,master's degree,depressed,Christianity,bisexual,You spend roughly a few times weekly on social media
20260220_184015_ba3a2f915a_result.json,yes,281,yes,119,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184030_477e74fea2_result.json,yes,259,yes,80,yes,con thinking,69,male,1,New York,,no formal education,employed full-time,man,cooking;cycling;birdwatching;photography;volunteering,in a relationship,native American,carpenter,high,86,moderate,66,high,82,low,7,low,22,PhD,primary school,creative,Agnostic,heterosexual,You spend roughly a few times weekly on social media
20260220_184044_1f6470759f_result.json,yes,251,yes,105,yes,con thinking,47,female,1,Washington DC,,lower secondary,self-employed,man,cycling;cinema;painting;running,married,native American,plumber,low,6,moderate,66,high,88,low,20,high,77,no formal education,bachelor's degree,normal,Agnostic,homosexual,You have no social media
20260220_184057_ac6578a04e_result.json,yes,289,yes,137,yes,con thinking,56,male,1,Milan,,no formal education,employed full-time,genderqueer,reading novels;photography;painting,married,native Italian,delivery driver,high,78,high,89,high,76,high,72,high,100,master's degree,bachelor's degree,with good mental health,Christianity,asexual,You spend roughly a few times weekly on social media
20260220_184110_e1615eb8f5_result.json,yes,288,yes,107,yes,con thinking,54,female,2,Rome,,master's degree,self-employed,man,hiking;yoga;knitting;cycling;baking,widowed,native Italian,university professor,moderate,62,low,20,moderate,52,high,88,high,94,vocational diploma,primary school,with good mental health,Christianity,asexual,You spend roughly one hour daily on social media
20260220_184132_8668bb17f5_result.json,yes,301,yes,119,yes,con thinking,19,male,5,Bari,,vocational diploma,employed full-time,transgender,yoga;baking;travel;rock climbing,married,native Italian,sales associate,low,15,low,31,high,77,moderate,45,moderate,62,vocational diploma,no formal education,normal,Judaism,homosexual,You spend roughly a few times weekly on social media
20260220_184150_afb43342be_result.json,yes,291,yes,124,yes,con thinking,52,male,0,Los Angeles,,primary school,student,man,knitting;videogames;reading novels;baking;rock climbing,in a relationship,native American,carpenter,moderate,41,low,32,high,99,low,9,high,84,master's degree,master's degree,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20260220_184206_8aff5afbc1_result.json,yes,302,yes,145,yes,con thinking,42,male,3,Milan,,vocational diploma,student,woman,painting;rock climbing,divorced,native Italian,barista,low,22,low,5,moderate,50,high,99,moderate,38,bachelor's degree,vocational diploma,creative,Hinduism,homosexual,You spend roughly a few times weekly on social media
20260220_184216_a80144029d_result.json,yes,310,yes,54,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184229_92a470d0c7_result.json,yes,338,yes,83,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184240_2034f623cb_result.json,yes,250,yes,73,yes,con thinking,72,male,1,Bologna,,bachelor's degree,employed full-time,man,reading novels;board games;yoga;cinema;classical music,in a relationship,native Italian,architect,high,97,high,67,low,11,high,72,high,93,master's degree,no formal education,anxious,Agnostic,heterosexual,You spend roughly one hour daily on social media
20260220_184250_a3ee0632d4_result.json,yes,237,yes,100,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184304_59a2933a5b_result.json,yes,270,yes,105,yes,con thinking,39,female,4,New York,,no formal education,student,genderqueer,travel;birdwatching;reading novels;videogames,divorced,native American,barista,low,14,moderate,64,high,93,high,92,moderate,64,no formal education,vocational diploma,curious,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20260220_184316_b2c30da4f1_result.json,yes,270,yes,133,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184328_26d34e5372_result.json,yes,324,yes,102,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184339_2299cbf3f3_result.json,yes,304,yes,77,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184349_dbc5c88737_result.json,yes,231,yes,108,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184401_f20d09e69a_result.json,yes,280,yes,94,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260220_184415_59e72a0156_result.json,yes,335,yes,97,yes,con thinking,83,female,0,Bologna,,master's degree,retired,man,rock climbing;board games;photography;baking,married,native Italian,sales associate,moderate,36,moderate,46,high,68,low,11,moderate,37,PhD,lower secondary,creative,Islam,homosexual,You spend several hours daily on social media
20260220_184425_413aff31f2_result.json,yes,275,yes,60,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
