file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251014_202427_result.json,yes,161,yes,131,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202453_result.json,yes,349,yes,94,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202548_result.json,yes,168,yes,107,yes,con thinking,77,female,0,Philadelphia,,primary school,self-employed,woman,photography;cooking;painting;football (calcio),divorced,native American,carpenter,moderate,33,high,75,moderate,33,moderate,34,moderate,37,PhD,no formal education,normal,Atheist,bisexual,You spend roughly a few times weekly on social media
20251014_202718_result.json,yes,288,yes,132,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202854_result.json,yes,405,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202948_result.json,yes,93,yes,171,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203007_result.json,yes,170,yes,76,yes,con thinking,89,female,1,Chicago,,primary school,employed part-time,woman,yoga;reading novels;cycling;cinema,single,immigrant,delivery driver,moderate,54,moderate,33,high,97,high,98,moderate,56,upper secondary,bachelor's degree,curious,Islam,heterosexual,You spend a few times monthly on social media
20251014_203024_result.json,yes,165,yes,132,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203050_result.json,yes,348,yes,111,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203104_result.json,yes,91,yes,84,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203129_result.json,yes,228,yes,187,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203159_result.json,yes,324,yes,211,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203214_result.json,yes,145,yes,90,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203228_result.json,yes,58,yes,71,yes,con thinking,50,male,1,Lecce,,PhD,employed part-time,genderqueer,gardening;travel;reading novels;rock climbing;football (calcio),married,immigrant,accountant,low,29,high,75,high,89,moderate,48,high,73,PhD,primary school,depressed,Agnostic,homosexual,You spend roughly one hour daily on social media
20251014_203305_result.json,yes,120,yes,118,yes,con thinking,65,female,0,Bari,,PhD,self-employed,woman,baking;volunteering;board games;painting;hiking,divorced,native Italian,cleaner,moderate,59,moderate,63,moderate,43,high,71,moderate,43,bachelor's degree,no formal education,anxious,Judaism,homosexual,You spend several hours daily on social media
20251014_203350_result.json,yes,432,yes,105,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203408_result.json,yes,183,yes,159,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203427_result.json,yes,78,yes,104,yes,con thinking,39,female,4,Naples,,vocational diploma,self-employed,woman,videogames;photography,divorced,immigrant,barista,low,27,moderate,47,low,4,low,16,high,84,lower secondary,primary school,anxious,Christianity,homosexual,You spend a few times monthly on social media
20251014_203447_result.json,yes,79,yes,218,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203507_result.json,yes,267,yes,91,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203609_result.json,yes,84,yes,129,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203631_result.json,yes,223,yes,177,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203712_result.json,yes,278,yes,93,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203754_result.json,yes,207,yes,169,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203925_result.json,yes,119,yes,143,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204009_result.json,yes,68,yes,96,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204038_result.json,yes,63,yes,108,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204140_result.json,yes,115,yes,109,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204308_result.json,yes,135,yes,118,yes,con thinking,90,male,0,Rome,,vocational diploma,employed part-time,man,running;reading novels;cycling;board games,single,native Italian,fitness trainer,moderate,35,high,73,low,15,low,16,high,72,bachelor's degree,bachelor's degree,anxious,Christianity,heterosexual,You spend several hours daily on social media
20251014_204344_result.json,yes,170,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204422_result.json,yes,231,yes,119,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204445_result.json,yes,331,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204503_result.json,yes,89,yes,139,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204544_result.json,yes,85,yes,100,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204609_result.json,yes,194,yes,174,yes,con thinking,30,male,1,Bologna,,master's degree,employed part-time,man,knitting;volunteering;board games,single,native Italian,journalist,high,92,moderate,41,moderate,41,high,78,high,89,primary school,lower secondary,depressed,Hinduism,heterosexual,You spend roughly one hour daily on social media
20251014_204704_result.json,yes,361,yes,131,yes,con thinking,59,male,1,Lecce,,bachelor's degree,self-employed,man,classical music;painting;rock climbing,married,native Italian,UX designer,moderate,53,low,7,high,99,high,81,low,3,bachelor's degree,upper secondary,anxious,Christianity,heterosexual,You spend a few times monthly on social media
20251014_204721_result.json,yes,152,yes,134,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204742_result.json,yes,208,yes,174,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204801_result.json,yes,169,yes,144,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
