file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251008_182302_result.json,yes,218,yes,49,yes,con thinking,62,female,1,Bologna,,master's degree,employed full-time,non-binary,photography;knitting;volunteering,married,native Italian,nurse,moderate,49,moderate,60,low,24,low,27,moderate,53,lower secondary,master's degree,with good mental health,Christianity,homosexual,You spend roughly a few times weekly on social media
20251008_182308_result.json,yes,368,yes,40,yes,con thinking,30,male,1,Philadelphia,,no formal education,employed full-time,man,cinema;baking;volunteering;cycling;board games,widowed,native American,retail worker,low,18,high,98,low,2,high,97,high,97,PhD,master's degree,with good mental health,Judaism,heterosexual,You spend roughly a few times weekly on social media
20251008_182311_result.json,yes,232,yes,47,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182326_result.json,yes,281,yes,41,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182329_result.json,yes,306,yes,30,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182341_result.json,yes,282,yes,42,yes,con thinking,90,male,2,Los Angeles,,PhD,employed part-time,genderqueer,football (calcio);cinema;birdwatching;videogames,in a relationship,native American,fitness trainer,low,25,moderate,52,moderate,53,high,92,low,0,upper secondary,primary school,creative,Judaism,heterosexual,You spend roughly one hour daily on social media
20251008_182354_result.json,yes,362,yes,35,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182358_result.json,yes,304,yes,24,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182407_result.json,yes,316,yes,67,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182411_result.json,yes,282,yes,77,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182416_result.json,yes,433,yes,28,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182426_result.json,yes,342,yes,53,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182435_result.json,yes,302,yes,32,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251008_182449_result.json,yes,314,yes,18,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
