file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251012_121418_result.json,yes,411,yes,46,yes,con thinking,58,male,0,New York,,upper secondary,employed part-time,agender,football (calcio);cycling,in a relationship,native American,waiter/waitress,low,4,moderate,65,high,93,moderate,47,high,98,bachelor's degree,PhD,curious,Atheist,heterosexual,You spend roughly a few times weekly on social media
20251012_121426_result.json,yes,195,yes,97,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121428_result.json,yes,513,yes,46,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121431_result.json,yes,456,yes,69,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121435_result.json,yes,214,yes,61,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121437_result.json,yes,336,yes,75,yes,con thinking,22,female,0,Los Angeles,,no formal education,employed full-time,woman,running;photography,divorced,native American,plumber,moderate,43,moderate,53,low,16,high,96,high,92,no formal education,lower secondary,creative,Islam,heterosexual,You spend roughly one hour daily on social media
20251012_121525_result.json,yes,373,yes,62,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121534_result.json,yes,386,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121535_result.json,yes,88,yes,148,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121539_result.json,yes,320,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121541_result.json,yes,343,yes,52,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121546_result.json,yes,402,yes,44,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_121547_result.json,yes,64,yes,123,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
