file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251009_183945_result.json,yes,116,yes,91,yes,senza thinking,64,male,0,Naples,,bachelor's degree,self-employed,man,classical music;reading novels;knitting;cooking,in a relationship,native Italian,mechanic,high,69,high,93,high,94,high,81,low,11,lower secondary,lower secondary,depressed,Hinduism,bisexual,You spend several hours daily on social media
20251009_183952_result.json,yes,7,yes,129,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_183959_result.json,yes,49,yes,47,yes,con thinking,32,female,0,Bologna,,vocational diploma,employed full-time,woman,rock climbing;classical music;birdwatching;cycling;knitting,in a relationship,native Italian,cleaner,low,24,low,19,moderate,46,low,7,high,90,upper secondary,master's degree,curious,Hinduism,heterosexual,You have no social media
20251009_184006_result.json,yes,95,yes,55,yes,senza thinking,70,male,1,Philadelphia,,primary school,employed full-time,genderqueer,reading novels;baking;hiking;rock climbing,widowed,native American,retail worker,moderate,54,low,5,moderate,40,high,84,moderate,66,vocational diploma,PhD,with good mental health,Islam,homosexual,You have no social media
20251009_184020_result.json,yes,379,yes,134,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184027_result.json,yes,142,yes,64,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184032_result.json,yes,97,yes,69,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184043_result.json,yes,214,yes,124,yes,con thinking,46,female,0,Bari,,no formal education,employed part-time,woman,yoga;videogames;hiking,widowed,native Italian,retail worker,high,85,high,86,moderate,51,low,10,high,92,primary school,no formal education,creative,Hinduism,heterosexual,You spend roughly one hour daily on social media
20251009_184054_result.json,yes,6,yes,3,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184103_result.json,yes,176,yes,101,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184137_result.json,yes,108,yes,108,yes,senza thinking,83,female,1,Lecce,,PhD,employed full-time,non-binary,volunteering;running;classical music;cooking;football (calcio),widowed,native Italian,engineer,moderate,36,high,67,high,69,high,85,moderate,64,PhD,primary school,anxious,Judaism,heterosexual,You spend roughly one hour daily on social media
20251009_184202_result.json,yes,155,yes,84,yes,con thinking,62,female,0,Rome,,vocational diploma,employed full-time,transgender,reading novels;videogames;yoga;travel;classical music,widowed,native Italian,carpenter,moderate,55,low,28,low,3,low,30,moderate,53,no formal education,upper secondary,curious,Buddhism,heterosexual,You have no social media
20251009_184218_result.json,yes,118,yes,116,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184224_result.json,yes,97,yes,67,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184232_result.json,yes,259,yes,53,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184257_result.json,yes,94,yes,94,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184302_result.json,yes,45,yes,64,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_184323_result.json,yes,95,yes,48,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
