file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251006_120507_result.json,yes,267,yes,129,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120516_result.json,yes,206,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120543_result.json,yes,365,yes,92,yes,con thinking,63,female,1,Bari,,no formal education,employed full-time,transgender,birdwatching;board games;knitting;baking,married,native Italian,delivery driver,high,72,high,100,moderate,64,low,26,moderate,42,vocational diploma,no formal education,curious,Agnostic,bisexual,You spend several hours daily on social media
20251006_120552_result.json,yes,191,yes,91,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120605_result.json,yes,334,yes,73,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120613_result.json,yes,196,yes,72,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120724_result.json,yes,344,yes,54,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120811_result.json,yes,206,yes,93,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120820_result.json,yes,231,yes,56,yes,con thinking,89,female,1,Washington DC,,master's degree,self-employed,woman,gardening;classical music,in a relationship,immigrant,university researcher,moderate,63,high,84,high,93,moderate,64,low,0,bachelor's degree,primary school,depressed,Islam,bisexual,You spend several hours daily on social media
20251006_120830_result.json,yes,263,yes,79,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120855_result.json,yes,243,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120904_result.json,yes,189,yes,87,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_120919_result.json,yes,362,yes,113,yes,con thinking,46,male,0,Bologna,,lower secondary,self-employed,man,running;cooking;cycling;board games,married,immigrant,hairdresser,high,94,high,70,moderate,55,high,93,moderate,61,lower secondary,master's degree,curious,Christianity,asexual,You spend roughly one hour daily on social media
20251006_120950_result.json,yes,185,yes,78,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121002_result.json,yes,276,yes,88,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121011_result.json,yes,200,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121020_result.json,yes,192,yes,73,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121028_result.json,yes,144,yes,109,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121036_result.json,yes,227,yes,59,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121045_result.json,yes,199,yes,61,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121106_result.json,yes,179,yes,97,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121139_result.json,yes,230,yes,86,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251006_121150_result.json,yes,266,yes,74,yes,con thinking,73,male,0,Rome,,primary school,employed part-time,man,rock climbing;baking,single,native Italian,delivery driver,high,96,low,30,low,6,high,82,high,88,primary school,bachelor's degree,depressed,Atheist,heterosexual,You have no social media
20251006_121159_result.json,yes,190,yes,99,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
