file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20260328_153424_run-00000_result.json,yes,341,yes,74,yes,con thinking,18,0,Naples,single,upper secondary,full-time student,man,reading novels;videogames;birdwatching;football (calcio),native-born Italian,not applicable,moderate,37,low,10,high,70,high,80,moderate,48,bachelor's degree,bachelor's degree,curious,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20260328_153424_run-00001_result.json,yes,277,yes,83,yes,con thinking,23,0,Chicago,in a relationship,upper secondary,employed full-time,woman,gardening;baking;yoga,native-born American,sales associate,low,20,high,93,low,31,moderate,59,high,68,lower secondary,bachelor's degree,creative,Islam,heterosexual,You spend roughly a few times weekly on social media
20260328_153424_run-00002_result.json,yes,308,yes,92,yes,con thinking,25,1,Bari,single,bachelor's degree,self-employed,man,running;gardening;rock climbing;photography;knitting,native-born Italian,UX designer,high,74,high,74,moderate,54,moderate,51,high,95,PhD,master's degree,with good mental health,Agnostic,bisexual,You spend roughly one hour daily on social media
20260328_153740_run-00000_result.json,yes,236,yes,94,yes,con thinking,29,0,Rome,single,bachelor's degree,full-time student,woman,birdwatching;hiking;football (calcio);gardening,immigrant,not applicable,low,14,high,82,moderate,43,moderate,37,high,98,master's degree,PhD,creative,Hinduism,asexual,You spend roughly one hour daily on social media
20260328_153740_run-00001_result.json,yes,348,yes,67,yes,con thinking,51,1,Kansas City,married,bachelor's degree,employed full-time,man,rock climbing;cinema,native-born American,data scientist,moderate,46,low,2,low,14,moderate,39,moderate,62,bachelor's degree,lower secondary,anxious,Hinduism,asexual,You spend several hours daily on social media
20260328_153740_run-00002_result.json,yes,306,yes,87,yes,con thinking,28,1,Washington DC,married,upper secondary,employed full-time,man,volunteering;painting;classical music,native-born American,delivery driver,low,15,moderate,66,moderate,57,low,31,moderate,56,vocational diploma,master's degree,anxious,Islam,heterosexual,You spend several hours daily on social media
20260328_153740_run-00003_result.json,yes,342,yes,66,yes,con thinking,88,1,Bari,divorced,vocational diploma,retired,woman,board games;birdwatching;running;travel;photography,immigrant,not applicable,low,24,moderate,60,moderate,52,low,12,high,100,primary school,upper secondary,depressed,Christianity,heterosexual,You spend a few times monthly on social media
20260328_153740_run-00004_result.json,yes,265,yes,104,yes,con thinking,70,0,Los Angeles,divorced,bachelor's degree,retired,woman,birdwatching;videogames;running,native-born American,not applicable,moderate,59,low,23,moderate,35,low,31,moderate,54,primary school,upper secondary,depressed,Islam,asexual,You spend a few times monthly on social media
20260328_153740_run-00005_result.json,yes,304,yes,121,yes,con thinking,87,2,Rome,widowed,master's degree,retired,man,hiking;painting;gardening;videogames;volunteering,native-born Italian,not applicable,high,100,high,89,high,93,high,71,moderate,54,master's degree,no formal education,normal,Christianity,heterosexual,You spend a few times monthly on social media
20260328_153740_run-00007_result.json,yes,427,yes,81,yes,con thinking,90,1,Kansas City,divorced,upper secondary,retired,man,hiking;videogames,native-born American,not applicable,low,9,high,72,low,12,high,68,high,79,vocational diploma,PhD,anxious,Islam,heterosexual,You have no social media
