file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251012_131016_result.json,yes,176,yes,34,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131021_result.json,yes,187,yes,24,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131025_result.json,yes,190,yes,48,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131031_result.json,yes,271,yes,51,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131050_result.json,yes,161,yes,27,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131122_result.json,yes,110,yes,84,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131130_result.json,yes,367,yes,97,yes,con thinking,29,male,0,Bari,,upper secondary,employed part-time,man,yoga;football (calcio);board games;reading novels;rock climbing,divorced,immigrant,waiter/waitress,high,85,moderate,57,high,70,high,71,high,93,bachelor's degree,bachelor's degree,curious,Hinduism,heterosexual,You have no social media
20251012_131141_result.json,yes,131,yes,31,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131156_result.json,yes,154,yes,56,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131200_result.json,yes,96,yes,43,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131207_result.json,yes,260,yes,70,yes,con thinking,65,female,2,Milan,,vocational diploma,self-employed,woman,hiking;volunteering;yoga;knitting,widowed,native Italian,retail worker,high,77,low,20,low,31,high,77,moderate,59,vocational diploma,PhD,anxious,Islam,bisexual,You spend several hours daily on social media
20251012_131213_result.json,yes,217,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131229_result.json,yes,113,yes,13,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131239_result.json,yes,123,yes,34,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131248_result.json,yes,137,yes,25,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131252_result.json,yes,113,yes,28,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131312_result.json,yes,150,yes,50,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131318_result.json,yes,182,yes,100,yes,con thinking,52,male,0,Philadelphia,,master's degree,employed part-time,non-binary,baking;travel;knitting;football (calcio);rock climbing,divorced,immigrant,chef,moderate,64,high,95,moderate,66,moderate,33,high,74,lower secondary,primary school,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20251012_131323_result.json,yes,191,yes,29,yes,con thinking,65,female,0,Los Angeles,,vocational diploma,self-employed,non-binary,running;painting,divorced,native American,waiter/waitress,high,93,moderate,47,low,16,high,78,high,94,no formal education,PhD,anxious,Islam,heterosexual,You have no social media
20251012_131326_result.json,yes,119,yes,22,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131336_result.json,yes,452,yes,46,yes,con thinking,42,female,0,Los Angeles,,upper secondary,employed full-time,woman,yoga;running;birdwatching;rock climbing;reading novels,in a relationship,native American,waiter/waitress,moderate,55,low,8,high,99,moderate,55,high,74,no formal education,master's degree,creative,Atheist,asexual,You spend roughly one hour daily on social media
20251012_131340_result.json,yes,101,yes,27,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131348_result.json,yes,118,yes,49,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131408_result.json,yes,331,yes,53,yes,con thinking,24,male,0,Lecce,,primary school,self-employed,man,rock climbing;videogames;hiking,married,native Italian,delivery driver,low,4,high,99,low,16,low,13,high,99,upper secondary,master's degree,anxious,Christianity,heterosexual,You have no social media
20251012_131413_result.json,yes,176,yes,23,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131417_result.json,yes,119,yes,24,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131421_result.json,yes,99,yes,70,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131425_result.json,yes,171,yes,24,yes,senza thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131501_result.json,yes,279,yes,50,yes,con thinking,21,male,2,Bologna,,primary school,self-employed,genderqueer,volunteering;football (calcio),married,immigrant,delivery driver,high,83,high,93,moderate,47,high,69,low,3,bachelor's degree,master's degree,with good mental health,Atheist,asexual,You spend roughly one hour daily on social media
20251012_131520_result.json,yes,204,yes,54,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251012_131531_result.json,yes,86,yes,51,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
