file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20260327_090736_result.json,yes,259,yes,122,yes,con thinking,57,0,New York,in a relationship,vocational diploma,employed full-time,agender,videogames;cycling,native-born American,electrician,moderate,44,moderate,53,low,4,high,98,high,85,PhD,master's degree,normal,Hinduism,asexual,You spend roughly one hour daily on social media
20260327_090748_result.json,yes,269,yes,116,yes,con thinking,90,1,Kansas City,widowed,vocational diploma,retired,woman,rock climbing;knitting;running;board games;classical music,immigrant,not applicable,low,26,low,11,moderate,56,low,12,low,16,upper secondary,vocational diploma,normal,Atheist,heterosexual,You spend a few times monthly on social media
20260327_090801_result.json,yes,242,yes,140,yes,con thinking,71,2,Philadelphia,in a relationship,bachelor's degree,self-employed,man,volunteering;photography;gardening;hiking,immigrant,plumber,high,93,high,80,moderate,47,low,19,moderate,60,upper secondary,primary school,depressed,Islam,heterosexual,You spend roughly one hour daily on social media
20260327_090812_result.json,yes,245,yes,101,yes,con thinking,42,1,Chicago,in a relationship,bachelor's degree,employed full-time,man,hiking;football (calcio);birdwatching;travel;painting,native-born American,software developer,moderate,34,high,89,high,75,low,26,low,14,vocational diploma,primary school,creative,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20260327_090825_result.json,yes,241,yes,163,yes,con thinking,21,0,Washington DC,single,upper secondary,employed part-time,genderqueer,yoga;baking;running;birdwatching;reading novels,native-born American,sales associate,high,83,high,83,high,92,high,75,low,25,upper secondary,master's degree,with good mental health,Islam,heterosexual,You spend roughly one hour daily on social media
20260327_090836_result.json,yes,224,yes,131,yes,con thinking,78,1,Bari,single,upper secondary,retired,transgender,football (calcio);cinema,native-born Italian,not applicable,moderate,34,high,77,low,9,moderate,58,low,19,upper secondary,master's degree,curious,Christianity,heterosexual,You spend roughly a few times weekly on social media
20260327_090849_result.json,yes,287,yes,136,yes,con thinking,51,2,Washington DC,married,lower secondary,employed full-time,woman,travel;knitting,native-born American,delivery driver,high,87,moderate,51,moderate,64,low,25,low,20,vocational diploma,upper secondary,anxious,Buddhism,asexual,You spend a few times monthly on social media
20260327_090901_result.json,yes,235,yes,128,yes,con thinking,68,0,Naples,married,vocational diploma,retired,man,running;classical music;volunteering;photography,native-born Italian,not applicable,low,5,high,69,moderate,53,low,32,low,17,bachelor's degree,vocational diploma,depressed,Christianity,asexual,You spend roughly one hour daily on social media
20260327_090911_result.json,yes,229,yes,95,yes,con thinking,53,0,Washington DC,single,lower secondary,unemployed,woman,volunteering;cooking,native-born American,not applicable,moderate,52,high,91,high,84,moderate,45,high,85,lower secondary,no formal education,depressed,Agnostic,heterosexual,You spend roughly a few times weekly on social media
20260327_090922_result.json,yes,239,yes,119,yes,con thinking,67,2,Bari,widowed,vocational diploma,retired,woman,painting;volunteering;rock climbing;yoga;videogames,native-born Italian,not applicable,moderate,44,high,92,low,4,moderate,47,low,0,primary school,master's degree,curious,Islam,heterosexual,You spend roughly one hour daily on social media
20260327_090934_result.json,yes,243,yes,112,yes,con thinking,32,3,Bologna,in a relationship,bachelor's degree,employed full-time,man,painting;photography,native-born Italian,mechanic,high,80,low,30,low,29,low,31,low,14,PhD,bachelor's degree,normal,Christianity,heterosexual,You spend a few times monthly on social media
20260327_090946_result.json,yes,245,yes,119,yes,con thinking,85,2,Philadelphia,in a relationship,lower secondary,retired,woman,cycling;yoga;classical music;travel;reading novels,native-born American,not applicable,low,32,high,82,low,11,high,71,high,72,primary school,master's degree,with good mental health,Christianity,asexual,You spend roughly a few times weekly on social media
20260327_090957_result.json,yes,222,yes,91,yes,con thinking,30,1,Milan,single,bachelor's degree,self-employed,woman,cinema;football (calcio),native-born Italian,startup founder,moderate,39,low,23,high,67,moderate,52,low,12,master's degree,master's degree,curious,Islam,bisexual,You spend roughly a few times weekly on social media
20260327_091009_result.json,yes,261,yes,92,yes,con thinking,43,1,Rome,divorced,vocational diploma,self-employed,non-binary,football (calcio);cinema;rock climbing;classical music,native-born Italian,mechanic,low,15,high,71,low,22,high,67,high,95,upper secondary,upper secondary,normal,Hinduism,heterosexual,You have no social media
